Data,Município,Índice
22 de fev. de 2020,Rio Preto da Eva,0.32
22 de fev. de 2020,São Gabriel da Cachoeira,0.35
22 de fev. de 2020,Tabatinga,0.33
22 de fev. de 2020,Tefé,0.37
23 de fev. de 2020,Autazes,0.42
23 de fev. de 2020,Boca do Acre,0.48
23 de fev. de 2020,Borba,0.36
23 de fev. de 2020,Careiro,0.38
23 de fev. de 2020,Careiro da Várzea,0.41
23 de fev. de 2020,Coari,0.43
23 de fev. de 2020,Humaitá,0.36
23 de fev. de 2020,Iranduba,0.42
23 de fev. de 2020,Itacoatiara,0.35
23 de fev. de 2020,Lábrea,0.38
23 de fev. de 2020,Manacapuru,0.4
23 de fev. de 2020,Manaus,0.43
23 de fev. de 2020,Manicoré,0.36
23 de fev. de 2020,Maués,0.3
23 de fev. de 2020,Parintins,0.29
23 de fev. de 2020,Presidente Figueiredo,0.4
23 de fev. de 2020,Rio Preto da Eva,0.37
23 de fev. de 2020,São Gabriel da Cachoeira,0.35
23 de fev. de 2020,Tabatinga,0.39
23 de fev. de 2020,Tefé,0.43
24 de fev. de 2020,Autazes,0.37
24 de fev. de 2020,Boca do Acre,0.38
24 de fev. de 2020,Borba,0.36
24 de fev. de 2020,Careiro,0.33
24 de fev. de 2020,Careiro da Várzea,0.35
24 de fev. de 2020,Coari,0.36
24 de fev. de 2020,Humaitá,0.3
24 de fev. de 2020,Iranduba,0.33
24 de fev. de 2020,Itacoatiara,0.32
24 de fev. de 2020,Lábrea,0.36
24 de fev. de 2020,Manacapuru,0.35
24 de fev. de 2020,Manaus,0.38
24 de fev. de 2020,Manicoré,0.33
24 de fev. de 2020,Maués,0.24
24 de fev. de 2020,Parintins,0.26
24 de fev. de 2020,Presidente Figueiredo,0.33
24 de fev. de 2020,Rio Preto da Eva,0.31
24 de fev. de 2020,São Gabriel da Cachoeira,0.32
24 de fev. de 2020,Tabatinga,0.33
24 de fev. de 2020,Tefé,0.35
25 de fev. de 2020,Autazes,0.43
25 de fev. de 2020,Boca do Acre,0.46
25 de fev. de 2020,Borba,0.35
25 de fev. de 2020,Careiro,0.43
25 de fev. de 2020,Careiro da Várzea,0.44
25 de fev. de 2020,Coari,0.48
25 de fev. de 2020,Humaitá,0.37
25 de fev. de 2020,Iranduba,0.44
25 de fev. de 2020,Itacoatiara,0.33
25 de fev. de 2020,Lábrea,0.44
25 de fev. de 2020,Manacapuru,0.39
25 de fev. de 2020,Manaus,0.46
25 de fev. de 2020,Manicoré,0.4
25 de fev. de 2020,Maués,0.29
25 de fev. de 2020,Parintins,0.31
25 de fev. de 2020,Presidente Figueiredo,0.43
25 de fev. de 2020,Rio Preto da Eva,0.39
25 de fev. de 2020,São Gabriel da Cachoeira,0.32
25 de fev. de 2020,Tabatinga,0.39
25 de fev. de 2020,Tefé,0.37
26 de fev. de 2020,Autazes,0.35
26 de fev. de 2020,Boca do Acre,0.4
26 de fev. de 2020,Borba,0.37
26 de fev. de 2020,Careiro,0.42
26 de fev. de 2020,Careiro da Várzea,0.44
26 de fev. de 2020,Coari,0.38
26 de fev. de 2020,Humaitá,0.32
26 de fev. de 2020,Iranduba,0.38
26 de fev. de 2020,Itacoatiara,0.34
26 de fev. de 2020,Lábrea,0.42
26 de fev. de 2020,Manacapuru,0.35
26 de fev. de 2020,Manaus,0.4
26 de fev. de 2020,Manicoré,0.4
26 de fev. de 2020,Maués,0.33
26 de fev. de 2020,Parintins,0.32
26 de fev. de 2020,Presidente Figueiredo,0.4
26 de fev. de 2020,Rio Preto da Eva,0.37
26 de fev. de 2020,São Gabriel da Cachoeira,0.33
26 de fev. de 2020,Tabatinga,0.37
26 de fev. de 2020,Tefé,0.34
27 de fev. de 2020,Autazes,0.28
27 de fev. de 2020,Boca do Acre,0.36
27 de fev. de 2020,Borba,0.3
27 de fev. de 2020,Careiro,0.36
27 de fev. de 2020,Careiro da Várzea,0.2
27 de fev. de 2020,Coari,0.39
27 de fev. de 2020,Humaitá,0.31
27 de fev. de 2020,Iranduba,0.26
27 de fev. de 2020,Itacoatiara,0.26
27 de fev. de 2020,Lábrea,0.34
27 de fev. de 2020,Manacapuru,0.27
27 de fev. de 2020,Manaus,0.3
27 de fev. de 2020,Manicoré,0.36
27 de fev. de 2020,Maués,0.23
27 de fev. de 2020,Parintins,0.26
27 de fev. de 2020,Presidente Figueiredo,0.27
27 de fev. de 2020,Rio Preto da Eva,0.23
27 de fev. de 2020,São Gabriel da Cachoeira,0.27
27 de fev. de 2020,Tabatinga,0.32
27 de fev. de 2020,Tefé,0.27
28 de fev. de 2020,Autazes,0.24
28 de fev. de 2020,Boca do Acre,0.28
28 de fev. de 2020,Borba,0.35
28 de fev. de 2020,Careiro,0.36
28 de fev. de 2020,Careiro da Várzea,0.26
28 de fev. de 2020,Coari,0.3
28 de fev. de 2020,Humaitá,0.24
28 de fev. de 2020,Iranduba,0.27
28 de fev. de 2020,Itacoatiara,0.26
28 de fev. de 2020,Lábrea,0.25
28 de fev. de 2020,Manacapuru,0.26
28 de fev. de 2020,Manaus,0.29
28 de fev. de 2020,Manicoré,0.26
28 de fev. de 2020,Maués,0.26
28 de fev. de 2020,Parintins,0.21
28 de fev. de 2020,Presidente Figueiredo,0.28
28 de fev. de 2020,Rio Preto da Eva,0.27
28 de fev. de 2020,São Gabriel da Cachoeira,0.31
28 de fev. de 2020,Tabatinga,0.28
28 de fev. de 2020,Tefé,0.26
29 de fev. de 2020,Autazes,0.31
29 de fev. de 2020,Boca do Acre,0.4
29 de fev. de 2020,Borba,0.27
29 de fev. de 2020,Careiro,0.39
29 de fev. de 2020,Careiro da Várzea,0.29
29 de fev. de 2020,Coari,0.28
29 de fev. de 2020,Humaitá,0.32
29 de fev. de 2020,Iranduba,0.32
29 de fev. de 2020,Itacoatiara,0.28
29 de fev. de 2020,Lábrea,0.4
29 de fev. de 2020,Manacapuru,0.33
29 de fev. de 2020,Manaus,0.33
29 de fev. de 2020,Manicoré,0.36
29 de fev. de 2020,Maués,0.23
29 de fev. de 2020,Parintins,0.26
29 de fev. de 2020,Presidente Figueiredo,0.31
29 de fev. de 2020,Rio Preto da Eva,0.35
29 de fev. de 2020,São Gabriel da Cachoeira,0.27
29 de fev. de 2020,Tabatinga,0.3
29 de fev. de 2020,Tefé,0.3
1 de mar. de 2020,Autazes,0.46
1 de mar. de 2020,Boca do Acre,0.46
1 de mar. de 2020,Borba,0.47
1 de mar. de 2020,Careiro,0.45
1 de mar. de 2020,Careiro da Várzea,0.34
1 de mar. de 2020,Coari,0.43
1 de mar. de 2020,Humaitá,0.42
1 de mar. de 2020,Iranduba,0.42
1 de mar. de 2020,Itacoatiara,0.37
1 de mar. de 2020,Lábrea,0.47
1 de mar. de 2020,Manacapuru,0.4
1 de mar. de 2020,Manaus,0.43
1 de mar. de 2020,Manicoré,0.37
1 de mar. de 2020,Maués,0.34
1 de mar. de 2020,Parintins,0.3
1 de mar. de 2020,Presidente Figueiredo,0.4
1 de mar. de 2020,Rio Preto da Eva,0.42
1 de mar. de 2020,São Gabriel da Cachoeira,0.36
1 de mar. de 2020,Tabatinga,0.44
1 de mar. de 2020,Tefé,0.43
2 de mar. de 2020,Autazes,0.34
2 de mar. de 2020,Boca do Acre,0.32
2 de mar. de 2020,Borba,0.35
2 de mar. de 2020,Careiro,0.31
2 de mar. de 2020,Careiro da Várzea,0.19
2 de mar. de 2020,Coari,0.34
2 de mar. de 2020,Humaitá,0.24
2 de mar. de 2020,Iranduba,0.29
2 de mar. de 2020,Itacoatiara,0.29
2 de mar. de 2020,Lábrea,0.37
2 de mar. de 2020,Manacapuru,0.24
2 de mar. de 2020,Manaus,0.31
2 de mar. de 2020,Manicoré,0.33
2 de mar. de 2020,Maués,0.25
2 de mar. de 2020,Parintins,0.25
2 de mar. de 2020,Presidente Figueiredo,0.27
2 de mar. de 2020,Rio Preto da Eva,0.31
2 de mar. de 2020,São Gabriel da Cachoeira,0.2
2 de mar. de 2020,Tabatinga,0.29
2 de mar. de 2020,Tefé,0.24
3 de mar. de 2020,Autazes,0.28
3 de mar. de 2020,Boca do Acre,0.33
3 de mar. de 2020,Borba,0.38
3 de mar. de 2020,Careiro,0.31
3 de mar. de 2020,Careiro da Várzea,0.34
3 de mar. de 2020,Coari,0.37
3 de mar. de 2020,Humaitá,0.26
3 de mar. de 2020,Iranduba,0.3
3 de mar. de 2020,Itacoatiara,0.29
3 de mar. de 2020,Lábrea,0.29
3 de mar. de 2020,Manacapuru,0.31
3 de mar. de 2020,Manaus,0.32
3 de mar. de 2020,Manicoré,0.28
3 de mar. de 2020,Maués,0.28
3 de mar. de 2020,Parintins,0.28
3 de mar. de 2020,Presidente Figueiredo,0.26
3 de mar. de 2020,Rio Preto da Eva,0.32
3 de mar. de 2020,São Gabriel da Cachoeira,0.25
